-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 01/01/2023 
Location: Latitude  24.87   Longitude 67.03 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M_RANGE             MERRA-2 Wind Speed at 50 Meters Range (m/s) 
WD50M                   MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,T2MDEW,T2MWET,TS,T2M_RANGE,QV2M,RH2M,PRECTOTCORR,PS,WS10M_RANGE,WD10M,WS50M_RANGE,WD50M
2001,1,1,4.6,4.62,0.71,328.16,82.2,83.53,0.98,3.4,11.23,20.11,10.21,5.07,38.75,0.0,100.82,3.14,163.62,4.34,163.81
2001,1,2,4.47,4.48,0.7,332.0,80.02,81.12,0.95,10.09,14.9,20.48,7.63,7.69,55.75,0.0,101.02,1.74,272.56,1.63,272.5
2001,1,3,4.39,4.42,0.68,329.77,77.6,78.92,0.91,7.86,13.94,20.78,9.38,6.77,49.44,0.0,101.13,2.2,222.88,3.1,222.31
2001,1,4,4.45,4.48,0.69,329.82,78.26,79.61,0.89,3.58,11.85,20.4,10.44,5.13,37.62,0.0,101.12,1.84,91.31,2.74,91.0
2001,1,5,4.59,4.62,0.7,327.99,80.73,82.14,0.95,1.4,10.62,20.2,10.84,4.33,32.12,0.0,101.04,3.84,153.56,5.69,152.31
2001,1,6,4.34,4.38,0.66,335.91,78.09,79.59,0.91,10.98,15.23,20.56,8.33,8.24,59.81,0.0,100.93,1.66,289.12,2.24,289.5
2001,1,7,4.3,4.33,0.66,346.38,78.5,79.82,0.91,10.83,16.2,22.08,7.68,8.24,53.38,0.0,100.78,2.63,273.5,3.7,274.38
2001,1,8,3.83,4.01,0.59,340.83,67.65,71.39,0.77,4.97,12.33,20.69,9.16,5.55,40.5,0.0,100.92,6.23,70.5,7.13,69.81
2001,1,9,4.38,4.42,0.66,323.05,76.05,77.43,0.95,2.12,11.05,20.31,9.51,4.64,33.5,0.0,101.06,2.84,137.12,3.55,138.12
2001,1,10,4.34,4.36,0.66,328.34,76.85,77.9,0.98,6.62,13.12,20.77,9.14,6.29,45.94,0.0,101.01,3.22,149.81,4.7,148.88
2001,1,11,3.87,4.33,0.59,346.09,71.78,80.49,0.98,12.97,16.79,21.31,6.63,9.34,62.69,0.0,100.74,3.35,281.88,4.49,281.38
2001,1,12,4.7,4.71,0.7,329.22,84.09,85.12,1.04,4.83,12.66,21.12,9.83,5.55,38.69,0.0,100.79,3.45,266.56,4.78,236.88
2001,1,13,4.61,4.64,0.69,325.02,81.43,82.7,1.05,3.59,12.36,20.8,10.92,5.13,34.56,0.0,101.02,2.95,147.81,3.49,136.94
2001,1,14,4.67,4.69,0.7,328.76,83.65,84.71,1.14,8.44,14.39,21.11,8.79,7.02,49.31,0.0,100.98,2.31,295.06,3.72,296.25
