-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2020 
Location: Latitude  24.87   Longitude 67.03 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
WD50M                  MERRA-2 Wind Direction at 50 Meters (Degrees) 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
T2M_RANGE              MERRA-2 Temperature at 2 Meters Range (C) 
WS50M_RANGE            MERRA-2 Wind Speed at 50 Meters Range (m/s) 
ALLSKY_SRF_ALB         CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_LW_DWN      CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2000,100.92,100.76,100.48,100.03,99.69,99.31,99.27,99.47,99.92,100.3,100.75,100.95,100.15
PS,2001,100.94,100.73,100.51,100.22,99.62,99.24,99.25,99.56,99.99,100.31,100.81,101.14,100.19
PS,2002,101.03,101.07,100.55,100.15,99.69,99.41,99.43,99.53,100.14,100.38,100.79,100.99,100.26
PS,2003,101.14,100.78,100.62,100.2,99.94,99.28,99.27,99.56,99.93,100.46,100.85,101.12,100.26
PS,2004,100.95,100.88,100.5,100.01,99.72,99.44,99.43,99.52,100.09,100.59,100.87,100.98,100.25
PS,2005,101.05,100.88,100.62,100.35,99.94,99.31,99.37,99.54,99.85,100.5,100.8,100.97,100.26
PS,2006,101.05,100.8,100.53,100.13,99.72,99.51,99.2,99.48,99.97,100.56,100.79,101.07,100.23
PS,2007,101.19,100.66,100.6,100.25,99.83,99.25,99.23,99.45,99.73,100.44,100.73,101.05,100.2
PS,2008,101.03,100.93,100.37,100.16,99.74,99.24,99.29,99.54,99.93,100.45,100.78,100.95,100.2
PS,2009,101.06,100.77,100.5,100.27,99.66,99.48,99.21,99.58,100.02,100.4,100.76,101.0,100.22
PS,2010,101.13,100.86,100.5,100.16,99.72,99.55,99.35,99.57,99.88,100.23,100.66,100.75,100.19
PS,2011,100.95,100.74,100.52,100.32,99.79,99.24,99.35,99.44,99.75,100.49,100.73,100.92,100.18
PS,2012,100.98,100.84,100.55,100.19,99.86,99.36,99.25,99.52,99.85,100.51,100.72,100.89,100.21
PS,2013,101.06,100.87,100.64,100.25,99.78,99.29,99.21,99.56,99.89,100.35,100.83,100.96,100.22
PS,2014,101.19,100.75,100.72,100.36,99.95,99.39,99.39,99.64,99.97,100.55,100.78,101.05,100.31
PS,2015,101.14,100.81,100.72,100.17,99.9,99.42,99.38,99.71,100.07,100.55,100.83,101.1,100.32
PS,2016,101.04,100.95,100.64,100.22,99.79,99.51,99.38,99.52,100.0,100.33,100.81,100.94,100.26
PS,2017,101.06,100.96,100.53,100.11,99.8,99.46,99.4,99.54,100.01,100.32,100.79,101.07,100.25
PS,2018,100.85,100.84,100.51,100.14,99.78,99.32,99.22,99.46,100.09,100.53,100.82,101.08,100.22
PS,2019,101.18,100.96,100.72,100.25,99.97,99.47,99.32,99.47,99.89,100.53,100.82,101.09,100.3
PS,2020,101.08,100.99,100.63,100.38,99.95,99.48,99.35,99.27,99.85,100.25,100.94,101.0,100.26
RH2M,2000,54.5,51.44,57.19,69.12,74.56,72.38,75.0,73.12,72.75,68.62,52.88,52.56,64.56
RH2M,2001,45.44,57.19,61.75,69.88,74.81,73.38,77.88,77.06,72.31,67.62,51.69,53.12,65.19
RH2M,2002,45.69,52.06,58.88,67.06,72.44,73.12,74.5,74.5,76.38,68.19,55.06,51.81,64.19
RH2M,2003,52.62,59.06,61.56,59.5,70.69,73.38,77.0,78.25,71.44,61.75,50.62,50.62,63.94
RH2M,2004,51.81,57.94,60.31,70.81,70.06,72.12,74.5,75.94,73.19,63.44,57.56,43.12,64.25
RH2M,2005,49.88,62.75,66.75,63.12,72.44,71.69,73.81,74.06,71.25,62.06,58.62,46.0,64.38
RH2M,2006,50.31,64.06,62.75,71.62,78.31,73.5,76.19,82.69,76.56,73.44,59.12,58.06,68.88
RH2M,2007,51.12,65.81,65.69,69.69,71.19,72.44,76.75,80.06,76.44,60.06,64.31,45.25,66.5
RH2M,2008,46.88,51.44,64.81,68.38,77.75,71.75,73.5,79.31,72.94,67.62,48.25,55.44,64.88
RH2M,2009,53.31,60.81,65.25,61.81,71.12,70.31,78.06,79.19,75.81,62.62,47.06,46.5,64.38
RH2M,2010,52.25,54.38,68.94,70.19,72.62,77.69,77.06,79.31,73.62,68.0,45.75,38.25,64.88
RH2M,2011,47.31,56.88,61.62,63.69,74.38,73.81,73.62,77.38,79.5,69.69,61.69,42.06,65.19
RH2M,2012,49.62,41.5,60.62,69.0,72.94,73.88,75.19,74.5,76.5,63.06,54.94,45.44,63.19
RH2M,2013,43.62,52.69,57.94,69.06,72.44,70.88,74.88,77.12,73.69,68.56,50.12,48.19,63.31
RH2M,2014,44.31,47.19,56.38,68.25,71.88,73.12,73.69,73.19,70.88,61.12,53.5,40.94,61.25
RH2M,2015,52.0,59.94,56.56,67.25,73.19,70.12,77.88,77.31,69.25,63.5,43.62,44.25,62.94
RH2M,2016,61.31,48.75,65.69,69.5,74.94,74.31,73.94,78.12,74.38,71.06,54.56,56.38,67.0
RH2M,2017,51.75,46.44,64.25,66.81,73.94,72.88,78.56,76.88,76.38,66.75,51.88,39.12,63.94
RH2M,2018,56.44,58.06,65.38,68.38,66.88,74.62,74.25,76.06,75.62,62.56,54.0,47.12,64.94
RH2M,2019,55.94,52.94,62.31,68.88,73.44,72.06,74.44,82.88,81.62,71.12,57.81,49.44,67.0
RH2M,2020,50.25,51.31,59.19,68.81,78.75,77.0,76.88,83.75,82.06,64.0,56.44,46.38,66.25
WD50M,2000,322.12,303.38,273.5,258.0,236.0,246.25,244.88,244.0,246.62,266.69,304.69,324.75,257.06
WD50M,2001,317.12,282.56,269.81,255.69,241.62,243.75,245.25,250.5,244.62,268.88,315.25,340.88,257.31
WD50M,2002,331.75,308.56,275.19,258.12,250.12,242.19,242.44,241.0,248.56,270.5,309.0,323.5,259.31
WD50M,2003,347.62,283.06,276.06,265.94,254.81,242.31,243.94,250.12,253.69,277.12,350.88,5.5,261.81
WD50M,2004,4.94,293.38,274.94,252.5,246.56,245.56,241.88,251.5,251.06,277.81,307.19,34.0,258.62
WD50M,2005,19.19,275.94,269.56,263.62,248.12,241.56,247.5,240.06,263.69,274.06,295.25,18.38,259.62
WD50M,2006,317.88,280.25,268.62,252.88,243.88,246.0,243.19,254.69,251.94,263.62,297.94,36.94,258.0
WD50M,2007,5.75,275.0,265.56,252.06,246.56,222.31,239.12,255.75,258.31,277.56,289.56,40.81,259.0
WD50M,2008,42.31,297.44,266.94,254.56,242.81,228.56,243.25,247.06,256.31,251.75,338.5,37.44,255.44
WD50M,2009,40.5,285.88,268.5,265.06,241.0,240.12,247.12,239.06,248.25,263.0,345.44,24.38,258.06
WD50M,2010,351.44,297.19,259.5,254.06,250.31,246.69,247.38,258.19,257.44,263.19,6.06,15.44,262.38
WD50M,2011,356.81,287.38,271.44,269.19,246.62,243.19,246.12,252.38,255.5,268.25,328.44,19.88,261.25
WD50M,2012,347.0,326.69,274.0,259.88,250.69,244.25,242.88,249.25,264.06,266.12,294.62,17.94,261.06
WD50M,2013,359.19,349.5,277.31,257.38,251.88,238.0,242.19,244.19,256.94,257.19,15.12,353.81,259.75
WD50M,2014,28.5,314.31,281.44,255.56,250.25,236.25,242.38,243.88,248.88,265.69,306.62,27.06,256.69
WD50M,2015,10.62,299.69,279.19,254.75,249.12,235.06,240.75,242.44,247.94,259.88,19.88,354.81,255.88
WD50M,2016,275.44,311.62,267.38,252.44,242.5,243.5,237.0,244.56,249.62,244.62,289.62,326.12,252.62
WD50M,2017,41.12,324.62,271.44,250.56,243.69,236.94,247.25,249.44,250.19,263.0,319.75,29.88,259.31
WD50M,2018,303.81,292.31,267.38,258.69,253.19,238.06,237.94,240.12,247.81,264.56,326.62,20.75,254.62
WD50M,2019,1.5,328.75,273.69,257.81,249.0,231.19,246.5,242.56,255.12,278.0,30.81,51.0,260.06
WD50M,2020,25.19,330.94,276.81,263.0,250.56,238.44,243.19,246.75,254.81,285.94,18.31,28.12,264.25
ALLSKY_KT,2000,0.62,0.62,0.63,0.65,0.59,0.61,0.54,0.51,0.58,0.64,0.63,0.62,0.6
ALLSKY_KT,2001,0.68,0.68,0.68,0.68,0.61,0.52,0.41,0.5,0.58,0.67,0.68,0.65,0.6
ALLSKY_KT,2002,0.67,0.68,0.67,0.68,0.65,0.59,0.45,0.48,0.59,0.67,0.66,0.63,0.61
ALLSKY_KT,2003,0.66,0.66,0.66,0.67,0.62,0.56,0.44,0.49,0.57,0.7,0.69,0.65,0.61
ALLSKY_KT,2004,0.64,0.7,0.71,0.65,0.62,0.57,0.52,0.5,0.6,0.61,0.65,0.62,0.61
ALLSKY_KT,2005,0.64,0.64,0.67,0.67,0.66,0.62,0.48,0.46,0.59,0.7,0.67,0.67,0.62
ALLSKY_KT,2006,0.67,0.68,0.68,0.66,0.63,0.61,0.45,0.44,0.59,0.65,0.65,0.62,0.6
ALLSKY_KT,2007,0.64,0.67,0.66,0.69,0.64,0.56,0.48,0.52,0.62,0.7,0.68,0.64,0.62
ALLSKY_KT,2008,0.63,0.7,0.68,0.66,0.62,0.52,0.46,0.49,0.59,0.66,0.69,0.6,0.6
