-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 01/01/2023 
Location: Latitude  24.87   Longitude 67.03 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M_RANGE,WS10M_RANGE
2015,1,1,4.22,10.81,3.48
2015,1,2,3.54,11.73,4.6
2015,1,3,3.86,9.19,3.36
2015,1,4,4.12,10.48,1.41
2015,1,5,4.4,9.82,3.51
2015,1,6,4.53,8.47,2.41
2015,1,7,4.2,9.66,3.15
2015,1,8,4.21,10.59,2.31
2015,1,9,4.27,8.57,2.23
2015,1,10,4.31,10.08,2.78
2015,1,11,4.47,8.86,2.76
2015,1,12,4.72,8.61,1.38
2015,1,13,4.25,9.03,3.29
2015,1,14,4.11,9.95,3.27
2015,1,15,4.14,11.02,2.5
2015,1,16,4.37,10.46,3.22
2015,1,17,4.58,10.53,3.62
2015,1,18,4.69,10.35,3.25
2015,1,19,4.69,10.95,3.27
2015,1,20,3.16,8.24,2.35
2015,1,21,3.75,6.38,2.89
2015,1,22,4.37,7.38,3.97
2015,1,23,4.29,8.88,4.58
2015,1,24,4.45,8.61,4.05
2015,1,25,4.53,8.9,2.67
2015,1,26,4.5,8.52,2.59
2015,1,27,4.88,9.84,5.36
2015,1,28,4.93,10.44,5.09
2015,1,29,4.87,9.95,1.86
2015,1,30,5.07,11.66,4.65
2015,1,31,5.05,10.02,4.42
2015,2,1,4.27,6.98,2.38
2015,2,2,4.23,6.91,4.82
2015,2,3,4.67,9.74,5.58
2015,2,4,5.08,10.48,3.61
2015,2,5,5.21,11.48,4.51
2015,2,6,5.08,8.55,3.22
2015,2,7,5.21,6.22,2.66
2015,2,8,5.28,10.09,4.12
2015,2,9,5.16,10.77,2.23
2015,2,10,5.23,11.62,4.88
2015,2,11,5.22,9.18,2.67
2015,2,12,5.21,10.6,2.41
2015,2,13,5.33,8.15,1.88
2015,2,14,5.19,10.19,3.29
2015,2,15,5.5,8.09,3.46
2015,2,16,5.75,9.33,3.62
2015,2,17,5.41,10.32,4.52
2015,2,18,5.52,9.27,3.22
2015,2,19,5.33,8.17,3.68
2015,2,20,5.36,9.95,3.25
2015,2,21,5.52,12.76,5.54
2015,2,22,4.98,10.94,4.81
2015,2,23,5.13,6.02,6.32
2015,2,24,5.57,7.12,4.15
2015,2,25,6.2,11.03,3.8
2015,2,26,6.22,11.34,1.59
2015,2,27,5.85,9.39,3.56
2015,2,28,3.1,6.38,8.29
2015,3,1,5.29,7.7,6.05
2015,3,2,5.52,7.52,4.66
2015,3,3,6.33,7.86,1.7
2015,3,4,5.92,7.76,3.62
2015,3,5,5.96,6.89,2.11
2015,3,6,5.9,7.98,4.56
2015,3,7,5.42,9.34,4.43
2015,3,8,6.07,14.22,4.62
2015,3,9,6.3,13.32,4.94
2015,3,10,6.43,11.97,5.8
2015,3,11,6.2,11.42,4.51
2015,3,12,6.11,10.93,6.78
2015,3,13,4.91,9.59,3.38
2015,3,14,6.06,6.26,1.92
2015,3,15,6.34,8.2,3.31
2015,3,16,6.73,10.62,5.15
2015,3,17,6.63,10.02,2.7
2015,3,18,6.67,10.12,4.55
2015,3,19,6.44,9.39,3.9
2015,3,20,6.36,9.44,2.67
2015,3,21,6.5,11.31,4.51
2015,3,22,5.98,11.23,3.85
2015,3,23,6.73,10.93,4.1
2015,3,24,6.5,10.25,3.42
2015,3,25,6.04,13.07,4.56
2015,3,26,5.04,12.57,3.65
2015,3,27,6.42,12.23,4.27
2015,3,28,5.65,7.77,4.62
2015,3,29,6.32,8.98,4.09
2015,3,30,7.34,11.59,5.23
2015,3,31,7.04,9.3,3.22
2015,4,1,5.84,7.77,4.33
2015,4,2,6.36,6.51,3.55
2015,4,3,5.05,5.53,5.12
2015,4,4,5.01,7.09,2.91
2015,4,5,5.81,8.33,2.25
2015,4,6,6.39,9.63,2.24
2015,4,7,6.33,11.06,2.52
2015,4,8,6.26,12.74,4.29
2015,4,9,6.33,11.92,3.88
2015,4,10,6.45,9.92,3.93
2015,4,11,6.4,9.53,4.51
2015,4,12,6.43,11.84,3.55
2015,4,13,6.91,12.18,4.54
2015,4,14,6.97,11.37,5.72
2015,4,15,7.06,11.84,6.07
2015,4,16,6.9,11.51,4.25
2015,4,17,6.85,9.01,3.24
2015,4,18,6.76,9.14,3.24
2015,4,19,7.15,9.2,5.08
2015,4,20,6.46,10.91,3.8
2015,4,21,7.29,11.13,4.27
2015,4,22,7.47,10.58,4.17
2015,4,23,7.58,9.59,5.08
2015,4,24,7.49,11.79,4.05
2015,4,25,7.2,9.34,2.85
2015,4,26,7.06,8.95,3.6
2015,4,27,5.18,10.27,5.38
2015,4,28,6.43,12.12,5.56
2015,4,29,7.05,10.43,3.62
2015,4,30,7.09,11.76,3.56
2015,5,1,7.29,12.79,4.52
2015,5,2,7.47,12.77,3.56
2015,5,3,7.38,10.5,2.88
2015,5,4,7.4,9.43,2.99
2015,5,5,7.19,10.87,3.45
2015,5,6,7.34,8.57,3.66
2015,5,7,6.61,4.58,3.67
2015,5,8,6.97,5.2,5.04
2015,5,9,6.5,6.93,4.38
2015,5,10,6.52,6.48,3.17
2015,5,11,6.25,7.91,2.89
2015,5,12,6.55,10.38,4.77
2015,5,13,6.78,9.91,3.33
2015,5,14,6.93,9.95,3.5
2015,5,15,7.33,9.16,3.87
2015,5,16,7.52,7.39,5.14
2015,5,17,7.44,6.25,2.27
2015,5,18,6.76,6.2,2.97
2015,5,19,6.76,6.16,2.49
2015,5,20,6.7,7.12,2.09
2015,5,21,7.18,8.3,3.34
2015,5,22,7.57,7.34,4.55
2015,5,23,7.49,6.78,5.46
2015,5,24,6.92,8.48,4.62
2015,5,25,6.69,7.47,4.28
2015,5,26,6.33,6.98,2.47
2015,5,27,6.65,5.31,2.88
2015,5,28,6.97,6.59,4.3
2015,5,29,7.2,8.42,2.63
2015,5,30,6.96,7.67,2.01
2015,5,31,7.05,9.16,2.75
2015,6,1,7.04,11.57,3.03
2015,6,2,6.34,11.18,4.7
2015,6,3,6.49,7.02,4.34
2015,6,4,6.87,7.02,4.62
2015,6,5,6.98,6.62,3.55
2015,6,6,7.21,6.99,1.91
2015,6,7,7.39,7.2,2.7
2015,6,8,4.49,8.71,4.4
2015,6,9,7.17,4.92,6.17
2015,6,10,7.47,5.45,3.22
2015,6,11,7.61,5.38,2.52
2015,6,12,7.22,6.04,3.38
2015,6,13,6.61,5.61,1.12
2015,6,14,6.98,4.9,1.69
2015,6,15,7.12,5.2,2.8
2015,6,16,6.76,5.9,1.64
2015,6,17,6.88,6.79,0.9
2015,6,18,6.91,8.28,3.59
2015,6,19,6.76,8.32,4.04
2015,6,20,6.39,5.16,5.3
2015,6,21,6.07,8.16,3.6
2015,6,22,6.52,6.77,4.28
2015,6,23,6.7,5.91,4.87
2015,6,24,5.39,4.83,3.66
2015,6,25,5.3,6.88,3.91
2015,6,26,5.98,6.09,2.81
2015,6,27,6.79,6.41,1.84
2015,6,28,5.95,7.4,2.91
2015,6,29,6.26,6.07,2.6
2015,6,30,6.36,4.61,3.05
2015,7,1,5.37,4.62,2.2
2015,7,2,5.8,4.63,2.81
2015,7,3,6.27,4.77,2.55
2015,7,4,5.92,4.55,3.05
2015,7,5,4.97,4.22,3.3
2015,7,6,4.34,5.16,2.83
2015,7,7,3.63,5.2,2.78
2015,7,8,3.74,4.35,2.16
2015,7,9,5.65,4.56,2.55
2015,7,10,5.49,4.78,3.24
2015,7,11,4.92,6.12,3.69
2015,7,12,5.65,6.65,3.11
2015,7,13,5.42,5.73,2.54
2015,7,14,5.37,4.17,0.69
2015,7,15,4.77,4.81,2.49
2015,7,16,4.83,5.23,1.45
2015,7,17,4.2,5.65,2.02
2015,7,18,3.5,5.94,2.64
2015,7,19,4.49,5.36,2.48
2015,7,20,4.9,5.32,1.3
2015,7,21,5.03,6.04,2.31
2015,7,22,4.73,3.4,1.46
2015,7,23,2.83,3.72,2.45
2015,7,24,5.61,3.77,2.38
2015,7,25,3.58,2.19,1.85
2015,7,26,2.26,2.82,2.72
2015,7,27,1.9,1.62,3.37
2015,7,28,3.42,3.3,2.59
2015,7,29,5.82,4.0,2.31
2015,7,30,4.02,4.24,2.81
2015,7,31,4.7,4.07,2.65
2015,8,1,4.85,4.43,2.44
2015,8,2,5.34,4.55,2.23
2015,8,3,5.9,4.62,1.3
2015,8,4,5.65,4.66,2.26
2015,8,5,3.89,4.49,3.33
2015,8,6,4.5,5.03,1.7
2015,8,7,4.57,5.91,1.67
2015,8,8,3.73,4.75,2.04
2015,8,9,4.02,3.25,2.23
2015,8,10,4.89,5.78,3.64
2015,8,11,5.88,6.47,3.64
2015,8,12,6.56,5.84,1.88
2015,8,13,5.33,4.66,0.96
2015,8,14,4.87,4.61,1.4
2015,8,15,5.75,4.93,1.57
2015,8,16,6.13,5.37,1.57
2015,8,17,6.42,5.06,1.91
2015,8,18,6.5,5.0,2.23
2015,8,19,6.62,4.53,3.17
2015,8,20,6.11,4.09,2.23
2015,8,21,3.81,4.41,2.8
2015,8,22,3.95,4.13,2.18
2015,8,23,3.41,4.68,1.77
2015,8,24,5.22,4.45,2.2
2015,8,25,4.5,4.88,1.47
2015,8,26,4.32,5.29,1.8
2015,8,27,4.63,4.99,1.56
2015,8,28,3.95,5.65,2.08
2015,8,29,5.74,5.88,3.73
2015,8,30,5.12,5.27,1.45
2015,8,31,5.04,5.73,3.33
2015,9,1,5.41,6.12,3.72
2015,9,2,5.59,5.16,3.25
2015,9,3,6.02,6.53,3.12
2015,9,4,6.49,6.55,3.49
2015,9,5,6.63,6.66,2.74
2015,9,6,5.49,5.29,2.49
2015,9,7,5.86,5.28,4.09
2015,9,8,6.39,6.59,2.14
2015,9,9,6.26,5.77,2.17
2015,9,10,6.36,7.13,2.2
2015,9,11,6.73,7.62,2.23
2015,9,12,6.55,7.62,2.55
2015,9,13,6.54,7.07,3.06
2015,9,14,6.01,5.27,2.11
2015,9,15,5.65,5.58,3.24
2015,9,16,6.1,6.91,2.86
2015,9,17,6.27,7.65,2.91
2015,9,18,5.08,10.76,5.41
2015,9,19,5.87,11.53,2.71
2015,9,20,5.65,10.87,1.91
2015,9,21,5.72,10.05,3.97
2015,9,22,6.28,9.12,5.2
2015,9,23,6.34,8.23,3.39
2015,9,24,6.0,6.08,3.48
2015,9,25,6.0,5.23,4.2
2015,9,26,6.11,5.98,3.74
2015,9,27,6.34,6.58,3.02
2015,9,28,6.35,7.59,2.69
2015,9,29,6.42,10.16,4.15
2015,9,30,6.23,12.73,3.46
2015,10,1,6.3,12.23,3.41
2015,10,2,6.29,10.12,2.64
2015,10,3,6.28,9.86,3.25
2015,10,4,5.93,7.71,3.09
2015,10,5,5.9,8.23,2.47
2015,10,6,6.02,8.41,2.34
2015,10,7,5.86,8.79,2.51
2015,10,8,5.86,9.29,2.61
