-BEGIN HEADER-,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/01/2020 ,,,,,,,,
Location: Latitude  24.87   Longitude 67.03 ,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
Parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
PS                    MERRA-2 Surface Pressure (kPa) ,,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M
2020,1,1,4,0,11.62,57.19,101.14,5.86
2020,1,1,5,0,11.34,58.19,101.22,6.2
2020,1,1,6,21.08,11.29,58.25,101.31,6.62
2020,1,1,7,149.95,12.38,53.56,101.38,7.18
2020,1,1,8,305.72,14.26,45.81,101.45,7.86
2020,1,1,9,464.09,16.18,39,101.45,8.2
2020,1,1,10,543.84,17.73,34.5,101.37,7.76
2020,1,1,11,585.17,18.98,31.19,101.25,7.12
2020,1,1,12,543.56,19.82,28.94,101.15,6.49
2020,1,1,13,449.48,20.23,27.5,101.09,5.93
2020,1,1,14,317.55,20.19,27.25,101.07,5.63
2020,1,1,15,155.17,19.46,29.81,101.09,5.24
2020,1,1,16,29.82,17.18,38.69,101.15,4.68
2020,1,1,17,0,15.66,43.38,101.25,5.11
2020,1,1,18,0,14.94,45.81,101.36,5.44
2020,1,1,19,0,14.3,47.94,101.42,5.53
2020,1,1,20,0,13.83,49.5,101.46,5.46
2020,1,1,21,0,13.51,50.38,101.47,5.39
2020,1,1,22,0,13.3,50.94,101.46,5.37
2020,1,1,23,0,13.03,51.62,101.43,5.38
2020,1,2,0,0,12.73,52.69,101.41,5.4
2020,1,2,1,0,12.35,53.81,101.38,5.52
2020,1,2,2,0,12.02,54.94,101.36,5.72
2020,1,2,3,0,11.76,55.94,101.37,5.86
2020,1,2,4,0,11.55,56.75,101.41,5.9
2020,1,2,5,0,11.41,57.31,101.49,5.96
2020,1,2,6,20.05,11.55,56.75,101.58,6.15
2020,1,2,7,136.61,13,51.06,101.63,6.59
2020,1,2,8,283.48,15.09,43.75,101.67,6.86
2020,1,2,9,451.95,17.31,38.12,101.66,6.75
2020,1,2,10,516.01,19.07,35.69,101.55,5.81
2020,1,2,11,495.07,20.24,33.69,101.4,4.86
2020,1,2,12,466.66,21.01,31.56,101.29,4
2020,1,2,13,388.77,21.42,30,101.24,3.34
2020,1,2,14,264.35,21.38,29.38,101.23,2.92
2020,1,2,15,122.11,20.87,31.31,101.27,2.81
2020,1,2,16,25.07,18.8,41.25,101.34,2.7
2020,1,2,17,0,17.53,45.19,101.45,3.46
2020,1,2,18,0,16.96,47.19,101.53,4.12
2020,1,2,19,0,16.47,48.06,101.58,4.59
2020,1,2,20,0,15.94,48.94,101.61,4.69
2020,1,2,21,0,15.3,50.56,101.59,4.56
2020,1,2,22,0,14.73,52.56,101.55,4.3
2020,1,2,23,0,14.24,54.5,101.5,3.98
2020,1,3,0,0,13.76,56.31,101.46,3.71
2020,1,3,1,0,13.43,57.75,101.43,3.53
2020,1,3,2,0,13.07,59.5,101.41,3.47
2020,1,3,3,0,12.73,61.56,101.43,3.5
2020,1,3,4,0,12.51,63.44,101.49,3.59
2020,1,3,5,0,12.35,65.12,101.57,3.69
2020,1,3,6,19.46,12.51,65.44,101.65,3.71
2020,1,3,7,128.51,14.36,58.69,101.69,4.38
2020,1,3,8,284.45,16.58,49.56,101.72,4.29
2020,1,3,9,434.48,18.81,42.81,101.68,3.88
2020,1,3,10,538.73,20.4,38.31,101.58,3.18
2020,1,3,11,500.24,21.57,35,101.43,2.46
2020,1,3,12,466.84,22.36,33.5,101.27,1.79
2020,1,3,13,386.06,22.8,33.19,101.18,1.51
2020,1,3,14,347.62,22.81,34.56,101.14,1.76
2020,1,3,15,126.97,22.3,38.12,101.14,2
2020,1,3,16,24.84,20.59,47.56,101.17,2.08
2020,1,3,17,0,19.76,48.88,101.25,2.13
2020,1,3,18,0,19.51,49.31,101.31,1.88
2020,1,3,19,0,19.3,50.38,101.34,1.54
2020,1,3,20,0,19,52,101.35,1.2
2020,1,3,21,0,18.69,53.75,101.35,1
2020,1,3,22,0,18.33,55.81,101.32,1.08
2020,1,3,23,0,17.86,58.94,101.28,1.36
2020,1,4,0,0,17.44,62.38,101.25,1.63
2020,1,4,1,0,17.13,66,101.21,1.89
2020,1,4,2,0,16.91,69.94,101.17,2.16
2020,1,4,3,0,16.83,73.44,101.15,2.31
2020,1,4,4,0,16.88,75.81,101.16,2.25
2020,1,4,5,0,16.98,77.44,101.21,2.1
2020,1,4,6,19.48,17.11,78.31,101.26,1.95
2020,1,4,7,136.5,18.33,74.38,101.31,1.56
2020,1,4,8,312.31,20.33,68,101.37,1.79
2020,1,4,9,458.21,21.9,63.12,101.37,2.24
2020,1,4,10,559.09,22.98,58.5,101.29,2.23
2020,1,4,11,635.91,23.73,55.19,101.15,2.13
2020,1,4,12,605.21,24.11,54.12,101.01,2.34
2020,1,4,13,511.91,24.14,54.31,100.93,2.83
2020,1,4,14,420.04,23.83,55.81,100.9,3.12
2020,1,4,15,196.33,23.17,58.88,100.92,3.3
2020,1,4,16,33.95,21.4,68.88,100.97,2.95
2020,1,4,17,0,20.05,77.88,101.06,3.16
2020,1,4,18,0,19.55,83.12,101.11,3.1
2020,1,4,19,0,19.15,86.44,101.13,2.92
2020,1,4,20,0,18.94,87.94,101.16,2.62
2020,1,4,21,0,18.9,88.25,101.15,2.32
2020,1,4,22,0,18.91,88.12,101.11,2
2020,1,4,23,0,18.86,88.38,101.06,1.72
2020,1,5,0,0,18.7,89.06,101.03,1.49
2020,1,5,1,0,18.58,89.5,100.99,1.12
