-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2020 
Location: Latitude  24.87   Longitude 67.04 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
WD50M                  MERRA-2 Wind Direction at 50 Meters (Degrees) 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
T2M_RANGE              MERRA-2 Temperature at 2 Meters Range (C) 
WS50M_RANGE            MERRA-2 Wind Speed at 50 Meters Range (m/s) 
ALLSKY_SRF_ALB         CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_LW_DWN      CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2015,101.14,100.81,100.72,100.17,99.9,99.42,99.38,99.71,100.07,100.55,100.83,101.1,100.32
PS,2016,101.04,100.95,100.64,100.22,99.79,99.51,99.38,99.52,100.0,100.33,100.81,100.94,100.26
PS,2017,101.06,100.96,100.53,100.11,99.8,99.46,99.4,99.54,100.01,100.32,100.79,101.07,100.25
PS,2018,100.85,100.84,100.51,100.14,99.78,99.32,99.22,99.46,100.09,100.53,100.82,101.08,100.22
PS,2019,101.18,100.96,100.72,100.25,99.97,99.47,99.32,99.47,99.89,100.53,100.82,101.09,100.3
PS,2020,101.08,100.99,100.63,100.38,99.95,99.48,99.35,99.27,99.85,100.25,100.94,101.0,100.26
RH2M,2015,52.0,59.94,56.56,67.25,73.19,70.12,77.88,77.31,69.25,63.5,43.62,44.25,62.94
RH2M,2016,61.31,48.75,65.69,69.5,74.94,74.31,73.94,78.12,74.38,71.06,54.56,56.38,67.0
RH2M,2017,51.75,46.44,64.25,66.81,73.94,72.88,78.56,76.88,76.38,66.75,51.88,39.12,63.94
RH2M,2018,56.44,58.06,65.38,68.38,66.88,74.62,74.25,76.06,75.62,62.56,54.0,47.12,64.94
RH2M,2019,55.94,52.94,62.31,68.88,73.44,72.06,74.44,82.88,81.62,71.12,57.81,49.44,67.0
RH2M,2020,50.25,51.31,59.19,68.81,78.75,77.0,76.88,83.75,82.06,64.0,56.44,46.38,66.25
WD50M,2015,10.62,299.69,279.19,254.75,249.12,235.06,240.75,242.44,247.94,259.88,19.88,354.81,255.88
WD50M,2016,275.44,311.62,267.38,252.44,242.5,243.5,237.0,244.56,249.62,244.62,289.62,326.12,252.62
WD50M,2017,41.12,324.62,271.44,250.56,243.69,236.94,247.25,249.44,250.19,263.0,319.75,29.88,259.31
WD50M,2018,303.81,292.31,267.38,258.69,253.19,238.06,237.94,240.12,247.81,264.56,326.62,20.75,254.62
WD50M,2019,1.5,328.75,273.69,257.81,249.0,231.19,246.5,242.56,255.12,278.0,30.81,51.0,260.06
WD50M,2020,25.19,330.94,276.81,263.0,250.56,238.44,243.19,246.75,254.81,285.94,18.31,28.12,264.25
ALLSKY_KT,2015,0.64,0.66,0.66,0.63,0.63,0.59,0.42,0.48,0.63,0.67,0.62,0.66,0.6
ALLSKY_KT,2016,0.63,0.67,0.66,0.66,0.64,0.59,0.46,0.47,0.62,0.66,0.68,0.67,0.61
ALLSKY_KT,2017,0.61,0.69,0.7,0.68,0.64,0.55,0.42,0.49,0.64,0.69,0.66,0.66,0.61
ALLSKY_KT,2018,0.66,0.65,0.71,0.66,0.64,0.55,0.45,0.43,0.58,0.67,0.65,0.66,0.6
ALLSKY_KT,2019,0.64,0.67,0.66,0.66,0.66,0.62,0.49,0.49,0.59,0.63,0.63,0.63,0.61
ALLSKY_KT,2020,0.65,0.69,0.66,0.67,0.67,0.63,0.54,0.47,0.63,0.68,0.66,0.69,0.63
CLOUD_AMT,2015,24.09,22.02,28.49,21.14,25.34,37.69,70.6,55.02,26.24,11.1,18.55,29.41,30.94
CLOUD_AMT,2016,20.17,19.94,30.88,35.68,23.42,40.34,71.98,69.02,19.64,15.0,9.45,11.81,30.72
CLOUD_AMT,2017,33.01,17.66,11.52,12.62,24.15,44.81,74.98,52.73,17.62,7.7,4.83,17.23,26.72
CLOUD_AMT,2018,8.66,25.1,9.27,19.7,23.34,39.37,64.36,61.7,32.54,13.64,13.8,13.02,27.06
CLOUD_AMT,2019,18.88,18.51,22.37,19.79,18.84,35.54,54.52,56.03,48.97,21.35,19.68,20.26,29.63
CLOUD_AMT,2020,19.08,13.46,25.95,20.88,21.13,39.18,57.52,71.64,32.88,12.58,5.85,8.04,27.45
T2M_RANGE,2015,15.97,17.59,21.85,15.98,13.91,12.15,8.54,8.28,14.28,16.04,16.86,16.85,26.58
T2M_RANGE,2016,13.47,19.08,14.67,14.02,12.8,11.04,7.8,8.35,8.16,12.36,15.93,15.77,23.31
T2M_RANGE,2017,15.43,21.73,19.84,19.55,15.97,8.93,6.5,10.97,10.38,14.83,17.06,16.35,29.62
T2M_RANGE,2018,14.59,16.86,17.61,14.73,16.11,11.3,8.45,8.09,10.84,13.62,14.31,16.9,27.98
T2M_RANGE,2019,16.77,17.04,18.1,15.3,15.34,12.22,8.17,7.91,10.38,12.2,16.64,16.35,28.9
T2M_RANGE,2020,17.45,18.98,18.92,14.74,12.07,9.16,9.88,7.36,8.62,13.99,16.7,18.59,28.04
WS50M_RANGE,2015,10.1,10.61,9.66,9.53,10.34,10.25,9.97,9.88,8.76,7.61,7.55,9.41,12.71
WS50M_RANGE,2016,7.65,9.48,9.75,10.08,10.3,12.72,9.28,7.35,6.22,6.67,7.02,8.41,13.09
WS50M_RANGE,2017,10.66,12.48,11.12,11.11,11.16,10.5,11.05,11.53,5.98,9.36,6.58,10.16,12.75
WS50M_RANGE,2018,10.17,8.01,9.59,9.61,10.6,11.52,8.91,9.1,6.87,7.82,7.1,8.66,12.12
WS50M_RANGE,2019,9.14,11.5,12.1,9.47,10.87,10.55,12.8,11.33,8.11,7.81,8.28,9.16,14.78
WS50M_RANGE,2020,10.66,8.2,10.35,8.68,9.81,11.04,10.87,9.58,9.56,9.2,10.55,9.96,11.52
ALLSKY_SRF_ALB,2015,0.18,0.16,0.18,0.18,0.16,0.2,0.18,0.18,0.17,0.16,0.17,0.17,0.17
ALLSKY_SRF_ALB,2016,0.16,0.19,0.19,0.17,0.17,0.2,0.17,0.17,0.18,0.16,0.16,0.16,0.17
ALLSKY_SRF_ALB,2017,0.16,0.18,0.17,0.19,0.17,0.18,0.17,0.18,0.16,0.16,0.15,0.16,0.17
ALLSKY_SRF_ALB,2018,0.16,0.16,0.16,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16
ALLSKY_SRF_ALB,2019,0.16,0.18,0.17,0.18,0.18,0.19,0.17,0.18,0.15,0.14,0.16,0.16,0.17
ALLSKY_SRF_ALB,2020,0.16,0.17,0.16,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16
ALLSKY_SFC_LW_DWN,2015,339.7,352.41,366.26,400.16,418.58,438.93,447.39,433.04,409.85,393.28,363.05,342.37,392.29
ALLSKY_SFC_LW_DWN,2016,351.14,340.27,377.05,389.94,416.36,433.27,447.91,434.12,408.7,388.77,351.32,346.66,390.67
ALLSKY_SFC_LW_DWN,2017,344.62,331.84,359.09,383.05,415.57,438.83,439.04,433.35,404.84,385.45,350.36,323.64,384.46
ALLSKY_SFC_LW_DWN,2018,333.05,348.67,360.52,392.23,412.0,436.89,441.17,434.01,409.89,382.16,365.42,330.3,387.36
ALLSKY_SFC_LW_DWN,2019,337.09,334.11,361.73,387.66,405.29,434.2,442.36,435.06,425.42,397.5,362.66,332.07,388.21
ALLSKY_SFC_LW_DWN,2020,320.87,334.2,357.89,389.09,410.74,433.21,442.47,442.99,416.97,378.23,340.37,319.42,382.33
ALLSKY_SFC_SW_DNI,2015,5.02,5.38,5.68,4.79,5.09,4.43,1.89,2.7,4.98,6.07,4.64,5.34,4.66
ALLSKY_SFC_SW_DNI,2016,4.84,5.61,5.71,5.82,5.34,4.55,2.49,2.68,5.16,5.53,5.94,5.77,4.94
ALLSKY_SFC_SW_DNI,2017,4.43,6.6,6.87,6.39,5.43,4.17,2.26,3.18,5.82,6.67,5.96,5.54,5.26
ALLSKY_SFC_SW_DNI,2018,5.69,5.38,7.34,5.87,5.39,3.55,2.26,2.14,4.17,6.28,5.48,5.77,4.94
ALLSKY_SFC_SW_DNI,2019,5.01,6.01,5.67,6.31,6.17,4.94,2.92,3.42,4.53,5.6,5.21,5.32,5.08
ALLSKY_SFC_SW_DNI,2020,5.67,6.38,6.1,6.6,6.49,5.39,4.11,2.96,5.35,6.63,6.08,6.45,5.68
ALLSKY_SFC_SW_DWN,2015,4.37,5.21,6.17,6.58,6.99,6.6,4.62,5.07,6.09,5.63,4.42,4.26,5.5
ALLSKY_SFC_SW_DWN,2016,4.31,5.34,6.2,6.9,7.08,6.67,5.06,4.94,6.01,5.45,4.79,4.32,5.59
ALLSKY_SFC_SW_DWN,2017,4.14,5.49,6.5,7.1,7.04,6.15,4.69,5.21,6.19,5.77,4.72,4.21,5.6
ALLSKY_SFC_SW_DWN,2018,4.5,5.16,6.63,6.88,7.07,6.1,4.96,4.56,5.57,5.65,4.57,4.27,5.49
ALLSKY_SFC_SW_DWN,2019,4.37,5.33,6.08,6.96,7.31,6.87,5.45,5.22,5.67,5.3,4.48,4.07,5.59
ALLSKY_SFC_SW_DWN,2020,4.42,5.45,6.18,7.04,7.37,7.05,5.99,4.95,6.07,5.68,4.71,4.41,5.77
ALLSKY_SFC_SW_DIFF,2015,1.65,1.93,2.31,2.96,2.99,3.16,3.13,3.02,2.54,1.76,1.77,1.49,2.39
ALLSKY_SFC_SW_DIFF,2016,1.72,1.92,2.27,2.62,2.95,3.1,3.15,2.91,2.42,1.92,1.49,1.35,2.32
ALLSKY_SFC_SW_DIFF,2017,1.72,1.56,1.91,2.42,2.89,3.03,2.95,2.84,2.14,1.57,1.44,1.41,2.16
ALLSKY_SFC_SW_DIFF,2018,1.48,1.91,1.74,2.55,2.93,3.32,3.21,2.96,2.65,1.72,1.52,1.34,2.28
ALLSKY_SFC_SW_DIFF,2019,1.67,1.78,2.25,2.37,2.64,3.13,3.2,2.7,2.45,1.79,1.59,1.38,2.25
ALLSKY_SFC_SW_DIFF,2020,1.42,1.64,2.04,2.22,2.45,2.98,2.91,2.68,2.3,1.55,1.37,1.16,2.06
